start_time	rating	tags	clip_name	clip_duration	notes
1:31	3	Interception,Pass	Nonchalant Steal Pass	15.0	Nice nonchalant steal and pass
1:39	5	1v1 Defense,Assist	Amazing Defense Assist	15.0	Amazing defense and assist
2:52	4	1v1 Defense	Great Defense	15.0	Great defense
3:20	4	Possession	Great Shielding	15.0	Great shielding; kick harder so receiver has more time
4:46	4	1v1 Attack	Great Dribbling	15.0	Great dribbling with big touch into space; foul called on Lance
5:15	3	Pass,Possession	Mis-hit Recovery	15.0	Mis-hit pass to Ben but great body work to keep ball; good chest; forcing pass to covered Ben
6:40	4	Possession,Pass	Great Body Control	15.0	Great body to control and pass back
12:13	3	Possession,1v1 Attack	Get Possession	15.0	Way to get possession; keep going right when left is open; great work getting ball back
12:53	4	Possession	Great Work Fouled	15.0	Great work getting back to ball and getting fouled
15:51	4	Possession,1v1 Attack,Pass	Good Pickup Dribble	15.0	Good pickup, dribble, physicality, decision and pass
16:10	4	Interception,Pass	Great Steal Pass	15.0	Great steal and pass to Nic
16:35	4	Possession	Great Pickup Combo	15.0	Great pickup and combo with Ben; lose ball get it back and earn corner
17:43	5	Chance Creation	Amazing Corner Kick	15.0	What a corner kick
18:22	4	Possession	Good Control Decision	15.0	Good control and decision
20:27	4	1v1 Attack	Great Touch Foul	15.0	Great touch to space and drawing the foul
21:22	4	Interception	Great Steal	15.0	Great steal
22:35	4	Possession,Pass	Good Receive Pass	15.0	Good job receiving and passing
22:46	3	Possession	Boxed In	15.0	Need to go left when boxed in; create options by moving ball centrally
24:35	4	Possession	Great Step In	15.0	Great step in to retain possession
25:02	3	1v1 Attack	Good Moves	15.0	Good moves but going toward sideline when space is other side
25:31	4	Possession,Pass	Good Receive Pass	15.0	Good receive and pass
25:45	4	Possession,Chance Creation	Composed Box Entry	15.0	Stayed composed with no option but still got it in the box
26:27	5	Pass	Amazing Ball	15.0	What a ball
26:39	4	Interception,Pass	Great Steal Pass	15.0	Great steal and pass
33:11	4	Interception	Great Steal	15.0	Great steal; right idea but Dylan unaware of pass
38:27	4	1v1 Attack,Movement	Great First Move	15.0	Great first move keeping eyes up; release just before offsides line
48:58	4	Possession,Pass	Great Receive Turn Pass	15.0	Great receiving, turn and amazing pass
50:14	4	Pass	Great Pass	15.0	Great pass
50:51	4	Possession	Great Won Header	15.0	Great won header
51:02	4	Possession	Great Control Body	15.0	Great control, body and drawing the foul
51:22	4	Possession,1v1 Attack	Great Receiving	15.0	Great receiving and dribbling; pass wide but beat man centrally for more options
52:06	4	1v1 Attack,Pass	Great Work Through	15.0	Great work getting by a person and getting pass through
56:03	5	1v1 Attack	Amazing Dribbling	15.0	Amazing dribbling
69:38	5	Movement,Pass	Great Run Perfect Pass	15.0	Great running onto ball and perfect pass with left
72:06	4	1v1 Attack	Great Dribbling	15.0	Great dribbling
73:02	4	Chance Creation	Great Kick	15.0	Great kick
74:48	4	Pass	Good Pass	15.0	Good pass to Jacob
76:36	4	Chance Creation	Great Kick	15.0	Great kick that slips through
82:25	4	Pass	Good Pass	15.0	Good pass to Nico; also consider Lance
83:55	5	Possession,1v1 Attack	Great Control Turn	15.0	Great control, turn, dribble and foul draw
85:38	4	1v1 Attack,Chance Creation	Great Dribble Cross	15.0	Great dribble to cross
85:51	5	Possession,1v1 Attack,Chance Creation	Best Cross Ever	15.0	Great control, dribble and best cross ever
86:53	3	1v1 Attack,Pass	Nice Touch Handoff	15.0	Nice touch to space, dribble and handoff
