start_time	rating	tags	clip_name	clip_duration	notes
25:20	3	1v1 Attack	Nice Dribble Foul	15.0	Nice dribble and foul
28:27	4	Possession,Pass	Great Touch Through	15.0	Great touch and through
35:47	4	Possession,1v1 Attack,Pass	Great Control Dribble Pass	15.0	Great control, dribble and pass
82:13	4	1v1 Attack	Beat CB Penalty	15.0	Great getting around center back and getting penalty
84:22	4	1v1 Attack	Great Win Foul	15.0	Great win and drawing foul
88:20	4	Possession,Pass	Great Control Header	15.0	Great control and header pass
91:20	4	Tackle	Great Slide Tackle	15.0	Great slide tackle
