start_time	rating	tags	clip_name	clip_duration	notes
11:30	5	Chance Creation	Great Kick Box	15.0	Great kick in the box
14:15	5	Assist	Great Assist	15.0	Great assist
16:41	4	Interception	Great Steal	15.0	Great steal
21:34	4	1v1 Defense	Great Defense	15.0	Great defense; peel off man and run through passing lane forcing bad ball
33:11	5	Interception,Pass	Great Steal Pass	15.0	Great steal and pass; attack pen mark after pass
37:30	3	Possession	Nice Touch	15.0	Nice touch; need to keep body between defender and ball better
42:05	3	1v1 Attack,Pass	Nice Moves Pass	15.0	Nice moves and pass
55:58	3	Possession,Pass,Movement	Nice Control Pass Run	15.0	Nice control, pass and supporting run
61:55	4	Chance Creation	Great Free Kick	15.0	Great free kick into the box
62:02	5	Interception,1v1 Attack	Great Steal Moves	15.0	Great steal; great second steal; great moves; fouled but not called
64:05	4	Pass	Great Deep Pass	15.0	Great deep pass
66:15	3	Pass	Nice Pass	15.0	What a nice pass
69:43	5	1v1 Attack	Great Dribbling	15.0	Great dribbling
73:09	5	1v1 Attack	Great Dribbling	15.0	Great dribbling; second touch too big
82:05	4	Pass	Great Twos	15.0	Great twos
91:01	4	1v1 Attack	Great Dribble	15.0	Great dribble
